currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,effectiveEndDate,reservationTerm
USD,0.0,0.0688,0.0688,eastus,US East,2023-07-01T00:00:00Z,000c494f-505a-508d-84e3-6c512039061f,DC8as v5 Low Priority,DZH318Z09B6C,DZH318Z09B6C/000H,DCasv5-series Linux,Standard_DC8as_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_DC8as_v5,,
USD,0.0,4.679,4.679,eastus,US East,2024-08-01T00:00:00Z,00114c3c-893a-5141-8cf2-7582013ce76f,FX64mds v2 Low Priority,DZH318Z0H7DN,DZH318Z0H7DN/00B7,Virtual Machines FXmdsv2 Series Windows,FX64mds v2 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_FX64mds_v2,,
USD,0.0,0.0,0.0,eastus,US East,2024-06-01T00:00:00Z,0027094d-8a2b-51f5-b6c6-06f1c1cd9935,D64ps v6,DZH318Z0G1G8,DZH318Z0G1G8/000D,Virtual Machines Dpsv6 Series Windows,D64ps v6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D64ps_v6,,
USD,0.0,1.614,1.614,eastus,US East,2022-01-01T00:00:00Z,0029e038-4955-5ad0-b930-ae3c68914557,E112iads v5 Low Priority,DZH318Z093X0,DZH318Z093X0/045L,Virtual Machines Eadsv5 Series,E112iads v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E112iads_v5,,
USD,0.0,6.694,6.694,eastus,US East,2023-06-01T00:00:00Z,0036165e-c869-5d05-b9a3-4d7885d96504,HX176-48rs Low Priority,DZH318Z0K1LG,DZH318Z0K1LG/000H,Virtual Machines HXrs Windows,HX176-48rs Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_HX176-48rs,,
USD,0.0,0.29777,0.29777,eastus,US East,2024-08-01T00:00:00Z,0039b3bf-1a16-5e45-9817-4b34fc5e92e2,M32ts Spot,DZH318Z0BQ4W,DZH318Z0BQ4W/04DL,Virtual Machines MS Series,M32ts Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_M32ts,,
USD,0.0,0.33264,0.33264,eastus,US East,2024-08-01T00:00:00Z,0043c338-96a2-5908-8425-9ff4b91cfc8b,E48a v4/E48as v4 Spot,DZH318Z0CM29,DZH318Z0CM29/0058,Virtual Machines Eav4 Series,E48a v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E48a_v4,2024-08-31T23:59:00Z,
USD,0.0,0.101,0.101,eastus,US East,2021-11-01T00:00:00Z,004afbe2-6490-5b08-9ed1-8c529b080195,E8 v5 Low Priority,DZH318Z08M9J,DZH318Z08M9J/003F,Virtual Machines Ev5 Series,Standard_E8_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8_v5,,
USD,0.0,0.0904,0.0904,eastus,US East,2021-12-01T00:00:00Z,00523a8c-2100-5153-8648-4599811bb9c1,E8-4as v5 Low Priority,DZH318Z093WZ,DZH318Z093WZ/00JN,Virtual Machines Easv5 Series,E8-4as v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8-4as_v5,,
USD,0.0,1.5365,1.5365,eastus,US East,2018-05-01T00:00:00Z,005c7d8a-2d63-4d43-bf78-c75346687b0e,M8ms,DZH318Z0BQ4W,DZH318Z0BQ4W/00FQ,Virtual Machines MS Series,M8ms,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_M8ms,,
